,parcelid,bathroomcnt,bedroomcnt,calculatedfinishedsquarefeet,fips,yearbuilt,taxvaluedollarcnt,taxamount,propertylandusetypeid
0,11721753,2.0,3.0,1316.0,6037.0,1923.0,205123.0,2627.48,261.0
1,11289917,2.0,3.0,1458.0,6037.0,1970.0,136104.0,2319.9,261.0
2,11705026,1.0,2.0,1421.0,6037.0,1911.0,35606.0,543.69,261.0
3,14269464,3.0,4.0,2541.0,6059.0,2003.0,880456.0,9819.72,261.0
4,11446756,2.0,3.0,1491.0,6037.0,1955.0,107110.0,1399.27,261.0
5,11389003,2.0,3.0,1650.0,6037.0,1949.0,614000.0,7673.19,261.0
6,11967869,1.0,2.0,693.0,6037.0,1921.0,274237.0,3267.47,261.0
7,11429175,2.0,4.0,1655.0,6037.0,1955.0,164269.0,2169.62,261.0
8,11696784,0.0,0.0,1378.0,6037.0,,168828.0,2135.39,261.0
9,11921077,2.0,3.0,1331.0,6037.0,1954.0,224906.0,4086.17,261.0
10,11391972,2.0,3.0,1440.0,6037.0,1938.0,286062.0,6093.88,261.0
11,11743374,1.0,4.0,2427.0,6037.0,1912.0,519963.0,6444.87,261.0
12,12870253,2.0,3.0,1346.0,6037.0,1959.0,465102.0,5627.16,261.0
13,11460552,2.0,3.0,1280.0,6037.0,1950.0,899750.0,10783.39,261.0
14,14236060,2.0,3.0,1668.0,6059.0,1976.0,196483.0,2376.34,261.0
15,14365030,2.5,3.0,1653.0,6059.0,1992.0,605000.0,6185.28,261.0
16,14008322,1.0,3.0,879.0,6059.0,1953.0,141875.0,2015.78,261.0
17,11552513,2.0,3.0,1108.0,6037.0,1953.0,486866.0,5990.5,261.0
18,12535098,2.0,3.0,1947.0,6037.0,1923.0,388478.0,4784.07,261.0
19,12443331,1.0,3.0,1004.0,6037.0,1922.0,272154.0,3307.31,261.0
20,12955531,3.0,4.0,3416.0,6037.0,1973.0,344328.0,4136.13,261.0
21,11391577,1.0,2.0,1061.0,6037.0,1923.0,31839.0,412.48,261.0
22,13880422,2.0,3.0,1306.0,6059.0,1963.0,203480.0,2543.86,261.0
